,Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death
59,Shandong,Mainland China,1/27/2020 19:00,75.0,22.613636363636363,7.253521126760563,12.3
60,Jiangxi,Mainland China,1/27/2020 19:00,72.0,22.613636363636363,2.0,12.3
61,Anhui,Mainland China,1/27/2020 19:00,70.0,22.613636363636363,7.253521126760563,12.3
62,Sichuan,Mainland China,1/27/2020 19:00,69.0,22.613636363636363,7.253521126760563,12.3
63,Fujian,Mainland China,1/27/2020 19:00,59.0,22.613636363636363,7.253521126760563,12.3
64,Shanghai,Mainland China,1/27/2020 19:00,53.0,22.613636363636363,3.0,1.0
65,Jiangsu,Mainland China,1/27/2020 19:00,47.0,22.613636363636363,1.0,12.3
66,Guangxi,Mainland China,1/27/2020 19:00,46.0,22.613636363636363,7.253521126760563,12.3
67,Shaanxi,Mainland China,1/27/2020 19:00,35.0,22.613636363636363,7.253521126760563,12.3
68,Hainan,Mainland China,1/27/2020 19:00,33.0,22.613636363636363,7.253521126760563,1.0
69,Liaoning,Mainland China,1/27/2020 19:00,27.0,22.613636363636363,7.253521126760563,12.3
70,Yunnan,Mainland China,1/27/2020 19:00,26.0,22.613636363636363,7.253521126760563,12.3
71,Tianjin,Mainland China,1/27/2020 19:00,23.0,22.613636363636363,7.253521126760563,12.3
72,Heilongjiang,Mainland China,1/27/2020 19:00,21.0,22.613636363636363,7.253521126760563,1.0
73,Hebei,Mainland China,1/27/2020 19:00,18.0,22.613636363636363,7.253521126760563,1.0
74,Gansu,Mainland China,1/27/2020 19:00,14.0,22.613636363636363,7.253521126760563,12.3
75,Shanxi,Mainland China,1/27/2020 19:00,13.0,22.613636363636363,7.253521126760563,12.3
76,Inner Mongolia,Mainland China,1/27/2020 19:00,11.0,22.613636363636363,7.253521126760563,12.3
77,Hong Kong,Hong Kong,1/27/2020 19:00,8.0,22.613636363636363,7.253521126760563,12.3
78,Guizhou,Mainland China,1/27/2020 19:00,7.0,22.613636363636363,7.253521126760563,12.3
79,Ningxia,Mainland China,1/27/2020 19:00,7.0,22.613636363636363,7.253521126760563,12.3
80,Jilin,Mainland China,1/27/2020 19:00,6.0,22.613636363636363,7.253521126760563,12.3
81,Macau,Macau,1/27/2020 19:00,6.0,22.613636363636363,7.253521126760563,12.3
82,Qinghai,Mainland China,1/27/2020 19:00,6.0,22.613636363636363,7.253521126760563,12.3
